Rank,Title,Sales,Series,Genre(s),Mode(s),Platform(s),Initial release date,Developer(s)[a],Publisher(s)[a],Ref
28,The Legend of Zelda: Breath of the Wild,"27,490,000",The Legend of Zelda,Action-adventure,Single-player,Wii U / Switch,"<span data-sort-value=""000000002017-03-03-0000"" style=""white-space:nowrap"">March 3, 2017",Nintendo EPD,Nintendo,[n]
29,Super Smash Bros. Ultimate,"27,400,000",Super Smash Bros.,Fighting,"Single-player, multiplayer",Nintendo Switch,"<span data-sort-value=""000000002018-12-07-0000"" style=""white-space:nowrap"">December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo,[15]
30,Super Mario World,"26,662,500",Super Mario,Platform,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000001990-11-21-0000"" style=""white-space:nowrap"">November 21, 1990",Nintendo EAD,Nintendo,[o]
31,Call of Duty: Modern Warfare 3,"26,500,000",Call of Duty,First-person shooter,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002011-11-08-0000"" style=""white-space:nowrap"">November 8, 2011",Infinity Ward / Sledgehammer,Activision,[43]
32,Call of Duty: Black Ops,"26,200,000",Call of Duty,First-person shooter,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002010-11-09-0000"" style=""white-space:nowrap"">November 9, 2010",Treyarch,Activision,[43]
33,Borderlands 2,"26,000,000",Borderlands,"Action role-playing, First-person shooter","Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002012-09-18-0000"" style=""white-space:nowrap"">September 18, 2012",Gearbox Software,2K Games,[44]
34,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"25,310,000",Pokémon,Role-playing,"Single-player, multiplayer",Nintendo 3DS,"<span data-sort-value=""000000002016-11-18-0000"" style=""white-space:nowrap"">November 18, 2016",Game Freak,Nintendo / The Pokémon Company,[p]
35,Grand Theft Auto IV,"25,000,000",Grand Theft Auto,Action-adventure,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002008-04-29-0000"" style=""white-space:nowrap"">April 29, 2008",Rockstar North,Rockstar Games,[46]
36,Pokémon Diamond / Pearl / Platinum,"24,730,000",Pokémon,Role-playing,"Single-player, multiplayer",Nintendo DS,"<span data-sort-value=""000000002006-09-28-0000"" style=""white-space:nowrap"">September 28, 2006",Game Freak,Nintendo / The Pokémon Company,[q]
37,Super Mario Bros. 3,"24,430,000",Super Mario,Platform,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000001988-10-23-0000"" style=""white-space:nowrap"">October 23, 1988",Nintendo EAD,Nintendo,[r]
38,Call of Duty: Black Ops II,"24,200,000",Call of Duty,First-person shooter,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002012-11-12-0000"" style=""white-space:nowrap"">November 12, 2012",Treyarch,Activision,[43]
39,Kinect Adventures!,"24,000,000",None,"Adventure, Sports","Single-player, multiplayer",Xbox 360,"<span data-sort-value=""000000002010-11-04-0000"" style=""white-space:nowrap"">November 4, 2010",Good Science Studio,Xbox Game Studios,[49]
FIFA 18,"24,000,000",FIFA,Sports simulation,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002017-09-29-0000"" style=""white-space:nowrap"">September 29, 2017",EA Vancouver,EA Sports,[50]
41,Sonic the Hedgehog,"23,982,960",Sonic the Hedgehog,Platform,Single-player,Multi-platform[c],"<span data-sort-value=""000000001991-06-23-0000"" style=""white-space:nowrap"">June 23, 1991",Sonic Team,Sega,[s]
42,Nintendogs,"23,960,000",None,Pet raising simulation,"Single-player, multiplayer",Nintendo DS,"<span data-sort-value=""000000002005-04-21-0000"" style=""white-space:nowrap"">April 21, 2005",Nintendo EAD,Nintendo,[32]
43,Pokémon Sword / Shield,"23,900,000",Pokémon,Role-playing,"Single-player, multiplayer",Nintendo Switch,"<span data-sort-value=""000000002019-11-15-0000"" style=""white-space:nowrap"">November 15, 2019",Game Freak,Nintendo / The Pokémon Company,[15]
44,Mario Kart DS,"23,600,000",Mario Kart,Kart racing,"Single-player, multiplayer",Nintendo DS,"<span data-sort-value=""000000002005-11-14-0000"" style=""white-space:nowrap"">November 14, 2005",Nintendo EAD,Nintendo,[32]
45,Super Mario Odyssey,"23,020,000",Super Mario,"Platform, Action-adventure","Single-player, multiplayer",Nintendo Switch,"<span data-sort-value=""000000002017-10-27-0000"" style=""white-space:nowrap"">October 27, 2017",Nintendo EPD,Nintendo,[15]
46,Red Dead Redemption,"23,000,000",Red Dead,Action-adventure,"Single-player, multiplayer",PS3 / Xbox 360,"<span data-sort-value=""000000002010-05-18-0000"" style=""white-space:nowrap"">May 18, 2010",Rockstar San Diego,Rockstar Games,[55]
47,Super Mario 64 / DS,"22,960,000",Super Mario,Platform,"Single-player, multiplayer",Nintendo 64 / DS,"<span data-sort-value=""000000001996-06-23-0000"" style=""white-space:nowrap"">June 23, 1996",Nintendo EAD,Nintendo,[42]
48,Call of Duty: Modern Warfare 2,"22,700,000",Call of Duty,First-person shooter,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002009-11-10-0000"" style=""white-space:nowrap"">November 10, 2009",Infinity Ward,Activision,[43]
49,Pokémon Ruby / Sapphire / Emerald,"22,540,000",Pokémon,Role-playing,"Single-player, multiplayer",Game Boy Advance,"<span data-sort-value=""000000002002-11-21-0000"" style=""white-space:nowrap"">November 21, 2002",Game Freak,Nintendo / The Pokémon Company,[t]
50,New Super Mario Bros. U / Deluxe / Luigi U,"21,600,000",Super Mario,Platform,"Single-player, multiplayer",Wii U / Nintendo Switch,"<span data-sort-value=""000000002012-11-18-0000"" style=""white-space:nowrap"">November 18, 2012",Nintendo EAD,Nintendo,[58]

